energy	p2	p2	p3
10.2806	0.999842	0.999965	0.999765
10.3106	0.999844	0.999967	0.999775
10.3407	0.999846	0.999969	0.999785
10.3707	0.999849	0.999970	0.999794
10.4008	0.999851	0.999972	0.999804
10.4309	0.999853	0.999974	0.999814
10.4609	0.999855	0.999976	0.999823
10.4910	0.999857	0.999977	0.999833
10.5210	0.999859	0.999979	0.999842
10.5511	0.999860	0.999980	0.999851
10.5812	0.999862	0.999982	0.999861
10.6112	0.999864	0.999983	0.999870
10.6413	0.999866	0.999984	0.999878
10.6713	0.999868	0.999986	0.999887
10.7014	0.999870	0.999987	0.999895
10.7315	0.999872	0.999988	0.999904
10.7615	0.999873	0.999989	0.999911
10.7916	0.999875	0.999990	0.999919
10.8216	0.999877	0.999991	0.999926
10.8517	0.999879	0.999992	0.999934
10.8818	0.999880	0.999993	0.999940
10.9118	0.999882	0.999994	0.999947
10.9419	0.999884	0.999994	0.999953
10.9719	0.999885	0.999995	0.999958
11.0020	0.999887	0.999996	0.999964
11.0321	0.999888	0.999996	0.999969
11.0621	0.999890	0.999997	0.999973
11.0922	0.999892	0.999997	0.999978
11.1222	0.999893	0.999998	0.999982
11.1523	0.999895	0.999998	0.999985
11.1824	0.999896	0.999999	0.999988
11.2124	0.999898	0.999999	0.999991
11.2425	0.999899	0.999999	0.999993
11.2725	0.999901	0.999999	0.999996
11.3026	0.999902	1.00000	0.999997
11.3327	0.999903	1.00000	0.999998
11.3627	0.999905	1.00000	0.999999
11.3928	0.999906	1.00000	1.00000
11.4228	0.999908	1.00000	1.00000
11.4529	0.999909	1.00000	1.00000
11.4830	0.999910	1.00000	0.999999
11.5130	0.999912	1.00000	0.999998
11.5431	0.999913	1.00000	0.999997
11.5731	0.999914	1.00000	0.999996
11.6032	0.999916	0.999999	0.999994
11.6333	0.999917	0.999999	0.999992
11.6633	0.999918	0.999999	0.999989
11.6934	0.999919	0.999999	0.999987
11.7234	0.999920	0.999998	0.999984
11.7535	0.999922	0.999998	0.999981
11.7836	0.999923	0.999997	0.999977
11.8136	0.999924	0.999997	0.999974
11.8437	0.999925	0.999997	0.999970
11.8737	0.999926	0.999996	0.999966
11.9038	0.999927	0.999996	0.999962
11.9339	0.999929	0.999995	0.999957
11.9639	0.999930	0.999994	0.999953
11.9940	0.999931	0.999994	0.999948
12.0240	0.999932	0.999993	0.999943
12.0541	0.999933	0.999993	0.999939
12.0842	0.999934	0.999992	0.999934
12.1142	0.999935	0.999991	0.999929
12.1443	0.999936	0.999991	0.999924
12.1743	0.999937	0.999990	0.999918
12.2044	0.999938	0.999989	0.999913
12.2345	0.999939	0.999988	0.999908
12.2645	0.999940	0.999987	0.999903
12.2946	0.999941	0.999987	0.999898
12.3246	0.999942	0.999986	0.999893
12.3547	0.999943	0.999985	0.999888
12.3848	0.999944	0.999984	0.999883
12.4148	0.999945	0.999983	0.999878
12.4449	0.999946	0.999982	0.999873
12.4749	0.999946	0.999981	0.999868
12.5050	0.999947	0.999981	0.999863
12.5351	0.999948	0.999980	0.999859
12.5651	0.999949	0.999979	0.999854
12.5952	0.999950	0.999978	0.999850
12.6253	0.999951	0.999977	0.999846
12.6553	0.999952	0.999976	0.999842
12.6854	0.999952	0.999975	0.999838
12.7154	0.999953	0.999974	0.999834
12.7455	0.999954	0.999973	0.999831
12.7756	0.999955	0.999972	0.999827
12.8056	0.999956	0.999971	0.999824
12.8357	0.999956	0.999970	0.999821
12.8657	0.999957	0.999969	0.999819
12.8958	0.999958	0.999967	0.999816
12.9259	0.999959	0.999966	0.999814
12.9559	0.999959	0.999965	0.999812
12.9860	0.999960	0.999964	0.999810
13.0160	0.999961	0.999963	0.999808
13.0461	0.999961	0.999962	0.999807
13.0762	0.999962	0.999961	0.999806
13.1062	0.999963	0.999960	0.999805
13.1363	0.999963	0.999959	0.999804
13.1663	0.999964	0.999958	0.999804
13.1964	0.999965	0.999957	0.999803
13.2265	0.999965	0.999955	0.999803
