energy	short	medium	long	Llong
10.5422	0.966736	0.903366	0.923206	0.994754
10.6024	0.966962	0.904799	0.922687	0.992236
10.6627	0.967185	0.906214	0.922257	0.989358
10.7229	0.967406	0.907609	0.921914	0.986184
10.7831	0.967625	0.908985	0.921656	0.982776
10.8434	0.967841	0.910342	0.921479	0.979195
10.9036	0.968055	0.911680	0.921384	0.975499
10.9639	0.968266	0.913001	0.921365	0.971741
11.0241	0.968476	0.914304	0.921423	0.967975
11.0843	0.968683	0.915588	0.921553	0.964245
11.1446	0.968888	0.916855	0.921754	0.960595
11.2048	0.969090	0.918105	0.922023	0.957063
11.2651	0.969291	0.919338	0.922357	0.953683
11.3253	0.969489	0.920554	0.922755	0.950486
11.3855	0.969686	0.921753	0.923214	0.947498
11.4458	0.969880	0.922936	0.923731	0.944740
11.5060	0.970072	0.924103	0.924305	0.942230
11.5663	0.970263	0.925254	0.924931	0.939984
11.6265	0.970451	0.926388	0.925609	0.938013
11.6867	0.970638	0.927508	0.926336	0.936325
11.7470	0.970823	0.928611	0.927110	0.934926
11.8072	0.971005	0.929700	0.927927	0.933819
11.8675	0.971186	0.930774	0.928786	0.933003
11.9277	0.971366	0.931833	0.929685	0.932478
11.9880	0.971543	0.932877	0.930621	0.932240
12.0482	0.971719	0.933907	0.931592	0.932281
12.1084	0.971893	0.934922	0.932596	0.932595
12.1687	0.972065	0.935924	0.933631	0.933173
12.2289	0.972235	0.936912	0.934695	0.934004
12.2892	0.972404	0.937886	0.935784	0.935076
12.3494	0.972571	0.938846	0.936899	0.936375
12.4096	0.972737	0.939794	0.938035	0.937887
12.4699	0.972901	0.940728	0.939193	0.939597
12.5301	0.973064	0.941649	0.940368	0.941490
12.5904	0.973225	0.942557	0.941560	0.943547
12.6506	0.973384	0.943453	0.942768	0.945752
12.7108	0.973542	0.944336	0.943987	0.948086
12.7711	0.973699	0.945207	0.945219	0.950532
12.8313	0.973854	0.946066	0.946459	0.953070
12.8916	0.974007	0.946913	0.947707	0.955682
12.9518	0.974159	0.947748	0.948962	0.958349
13.0120	0.974310	0.948571	0.950220	0.961052
13.0723	0.974460	0.949383	0.951482	0.963773
13.1325	0.974608	0.950183	0.952745	0.966494
13.1928	0.974754	0.950972	0.954008	0.969196
13.2530	0.974900	0.951750	0.955270	0.971862
13.3133	0.975044	0.952518	0.956528	0.974476
13.3735	0.975186	0.953274	0.957783	0.977022
13.4337	0.975328	0.954020	0.959031	0.979486
13.4940	0.975468	0.954755	0.960274	0.981852
13.5542	0.975607	0.955480	0.961508	0.984109
13.6145	0.975745	0.956194	0.962733	0.986245
13.6747	0.975881	0.956899	0.963947	0.988249
13.7349	0.976017	0.957594	0.965151	0.990112
13.7952	0.976151	0.958278	0.966342	0.991827
13.8554	0.976284	0.958953	0.967520	0.993385
13.9157	0.976416	0.959619	0.968683	0.994783
13.9759	0.976546	0.960275	0.969832	0.996017
14.0361	0.976676	0.960922	0.970965	0.997084
14.0964	0.976805	0.961559	0.972080	0.997982
14.1566	0.976932	0.962188	0.973179	0.998713
14.2169	0.977058	0.962807	0.974259	0.999277
14.2771	0.977184	0.963418	0.975320	0.999676
14.3373	0.977308	0.964020	0.976362	0.999916
14.3976	0.977431	0.964613	0.977384	1.00000
14.4578	0.977553	0.965198	0.978385	0.999934
14.5181	0.977674	0.965775	0.979366	0.999724
14.5783	0.977794	0.966343	0.980324	0.999379
14.6386	0.977913	0.966903	0.981261	0.998905
14.6988	0.978031	0.967455	0.982175	0.998312
14.7590	0.978149	0.967999	0.983067	0.997609
14.8193	0.978265	0.968535	0.983935	0.996805
14.8795	0.978380	0.969063	0.984781	0.995910
14.9398	0.978494	0.969584	0.985602	0.994934
15.0000	0.978608	0.970097	0.986401	0.993888
